,precision,recall,f1-score,support
akiec,0.5111111111111111,0.34328358208955223,0.4107142857142857,67.0
bcc,0.4732142857142857,0.5408163265306123,0.5047619047619047,98.0
bkl,0.3409090909090909,0.36809815950920244,0.35398230088495575,163.0
df,0.14,0.5384615384615384,0.2222222222222222,13.0
mel,0.3152454780361757,0.6630434782608695,0.4273204903677758,184.0
nv,0.9425770308123249,0.6723276723276723,0.7848396501457726,1001.0
vasc,0.27692307692307694,0.782608695652174,0.4090909090909091,23.0
accuracy,0.6171723692704971,0.6171723692704971,0.6171723692704971,0.6171723692704971
macro avg,0.42856858192943786,0.5583770646902316,0.4447045375982609,1549.0
weighted avg,0.7397686461159785,0.6171723692704971,0.6528296182539319,1549.0
