,precision,recall,f1-score,support
akiec,0.37398373983739835,0.6865671641791045,0.4842105263157895,67.0
bcc,0.5730337078651685,0.5204081632653061,0.5454545454545454,98.0
bkl,0.34,0.4171779141104294,0.3746556473829201,163.0
df,0.08208955223880597,0.8461538461538461,0.14965986394557823,13.0
mel,0.4020100502512563,0.43478260869565216,0.4177545691906005,184.0
nv,0.9450980392156862,0.7222777222777222,0.8187995469988675,1001.0
vasc,0.41025641025641024,0.6956521739130435,0.5161290322580645,23.0
accuracy,0.6423499031633312,0.6423499031633312,0.6423499031633312,0.6423499031633312
macro avg,0.44663878566638937,0.6175742275135863,0.4723805330780522,1549.0
weighted avg,0.7534862892550208,0.6423499031633312,0.6825482598394346,1549.0
