,precision,recall,f1-score,support
akiec,0.36046511627906974,0.4626865671641791,0.40522875816993464,67.0
bcc,0.3333333333333333,0.5,0.4,98.0
bkl,0.3389830508474576,0.12269938650306748,0.18018018018018017,163.0
df,0.05172413793103448,0.6923076923076923,0.0962566844919786,13.0
mel,0.2986425339366516,0.358695652173913,0.32592592592592595,184.0
nv,0.9333333333333333,0.6013986013986014,0.7314702308626975,1001.0
vasc,0.0967741935483871,0.9130434782608695,0.175,23.0
accuracy,0.5151710781149128,0.5151710781149128,0.5151710781149128,0.5151710781149128
macro avg,0.3447508141727524,0.5215473396869033,0.3305802542329595,1549.0
weighted avg,0.7128387216922057,0.5151710781149128,0.5766094929174185,1549.0
